,posteam,posteam_score,defteam_score,time,qtr,down,ydstogo,yrdln,play_type,desc,wp,ep,epa,total_home_epa,total_away_epa
49117,,,,15:00,1.0,,0.0,PHI 35,,GAME,0.43320796,0.77022237,-0.0,0.0,0.0
49118,WAS,0.0,0.0,15:00,1.0,,0.0,PHI 35,kickoff,"4-J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback to the WAS 30.",0.43320796,0.77022237,0.25781915,-0.25781915,0.25781915
49119,WAS,0.0,0.0,15:00,1.0,1.0,10.0,WAS 30,run,(15:00) (Shotgun) 5-J.Daniels scrambles up the middle to WAS 31 for 1 yard (3-N.Smith; 90-J.Davis).,0.43354625,1.0280415,-0.4430089,0.18518974,-0.18518974
49120,WAS,0.0,0.0,14:25,1.0,2.0,9.0,WAS 31,pass,"(14:25) (No Huddle, Shotgun) 5-J.Daniels pass short right to 86-Z.Ertz to WAS 34 for 3 yards (2-D.Slay).",0.41563025,0.58503264,-0.39886317,0.5840529,-0.5840529
49121,WAS,0.0,0.0,13:52,1.0,3.0,6.0,WAS 34,pass,"(13:52) (No Huddle, Shotgun) 5-J.Daniels pass short left to 17-T.McLaurin to WAS 41 for 7 yards (27-Q.Mitchell).",0.418461,0.18616945,1.6970978,-1.1130449,1.1130449
49122,WAS,0.0,0.0,13:31,1.0,1.0,10.0,WAS 41,pass,"(13:31) (No Huddle, Shotgun) 5-J.Daniels pass incomplete short middle to 30-A.Ekeler (93-M.Williams).",0.4548994,1.8832672,-0.5135015,-0.59954333,0.59954333
49123,WAS,0.0,0.0,13:29,1.0,2.0,10.0,WAS 41,pass,"(13:29) (No Huddle, Shotgun) 5-J.Daniels pass short right to 87-J.Bates to WAS 45 for 4 yards (8-C.Gardner-Johnson).",0.43678147,1.3697656,-0.43542925,-0.1641141,0.1641141
49124,WAS,0.0,0.0,12:48,1.0,3.0,6.0,WAS 45,pass,"(12:48) (No Huddle, Shotgun) 5-J.Daniels pass short left to 14-O.Zaccheaus to PHI 48 for 7 yards (53-Z.Baun).",0.42585674,0.9343365,1.7122754,-1.8763895,1.8763895
49125,WAS,0.0,0.0,12:16,1.0,1.0,10.0,PHI 48,run,"(12:16) (No Huddle, Shotgun) 8-B.Robinson left tackle to PHI 43 for 5 yards (53-Z.Baun; 19-J.Sweat).",0.4801179,2.646612,-0.017715061,-1.8586744,1.8586744
49126,WAS,0.0,0.0,11:41,1.0,2.0,5.0,PHI 43,pass,"(11:41) (No Huddle, Shotgun) 5-J.Daniels pass incomplete short left to 86-Z.Ertz.",0.46476734,2.6288967,-0.85009587,-1.0085785,1.0085785
49127,WAS,0.0,0.0,11:37,1.0,3.0,5.0,PHI 43,pass,"(11:37) (No Huddle, Shotgun) 5-J.Daniels pass incomplete deep right to 30-A.Ekeler (33-C.DeJean).",0.44100326,1.778801,-1.7535224,0.74494386,-0.74494386
49128,WAS,0.0,0.0,11:28,1.0,4.0,5.0,PHI 43,pass,"(11:28) (No Huddle, Shotgun) 5-J.Daniels pass short left to 86-Z.Ertz pushed ob at PHI 36 for 7 yards (53-Z.Baun).",0.39266723,0.025278522,3.451743,-2.706799,2.706799
49129,WAS,0.0,0.0,10:58,1.0,1.0,10.0,PHI 36,pass,"(10:58) (No Huddle, Shotgun) 5-J.Daniels pass short right to 14-O.Zaccheaus to PHI 31 for 5 yards (53-Z.Baun).",0.5304118,3.4770212,0.12596326,-2.8327622,2.8327622
49130,WAS,0.0,0.0,10:26,1.0,2.0,5.0,PHI 31,run,"(10:26) (No Huddle, Shotgun) 8-B.Robinson right tackle to PHI 28 for 3 yards (93-M.Williams).",0.51782006,3.6029847,-0.18005913,-2.652703,2.652703
49131,WAS,0.0,0.0,09:55,1.0,3.0,2.0,PHI 28,pass,"(9:55) (No Huddle, Shotgun) 5-J.Daniels pass incomplete short left to 14-O.Zaccheaus (27-Q.Mitchell).",0.51499045,3.4229255,-1.3867536,-1.2659495,1.2659495
49132,WAS,0.0,0.0,09:50,1.0,4.0,2.0,PHI 28,run,"(9:50) (No Huddle, Shotgun) 5-J.Daniels scrambles up the middle to PHI 23 for 5 yards (33-C.DeJean).",0.4683873,2.036172,2.3484404,-3.61439,3.61439
49133,WAS,0.0,0.0,09:10,1.0,1.0,10.0,PHI 23,run,"(9:10) (No Huddle, Shotgun) 30-A.Ekeler left guard to PHI 22 for 1 yard (98-J.Carter; 32-R.Blankenship).",0.5607285,4.384612,-0.412224,-3.2021658,3.2021658
49134,WAS,0.0,0.0,08:33,1.0,2.0,9.0,PHI 22,pass,"(8:33) (No Huddle, Shotgun) 5-J.Daniels pass incomplete short right to 80-J.Crowder.",0.54534644,3.9723883,-0.5903602,-2.6118057,2.6118057
49135,WAS,0.0,0.0,08:30,1.0,3.0,9.0,PHI 22,pass,"(8:30) (No Huddle, Shotgun) 5-J.Daniels pass short left to 30-A.Ekeler pushed ob at PHI 16 for 6 yards (42-O.Burks; 27-Q.Mitchell).",0.52155125,3.382028,-0.6586733,-1.9531323,1.9531323
49136,WAS,0.0,0.0,08:01,1.0,4.0,3.0,PHI 16,field_goal,"(8:01) 47-Z.Gonzalez 34 yard field goal is GOOD, Center-69-T.Ott, Holder-10-T.Way.",0.49727726,2.7233546,0.27664533,-2.2297776,2.2297776
49137,PHI,0.0,3.0,07:57,1.0,,0.0,WAS 35,kickoff,47-Z.Gonzalez kicks 60 yards from WAS 35 to PHI 5. 28-W.Shipley to PHI 40 for 35 yards (20-Q.Martin).,0.51108754,1.4066317,0.93453515,-1.2952424,1.2952424
49138,PHI,0.0,3.0,07:51,1.0,1.0,10.0,PHI 40,run,"(7:51) 26-S.Barkley left end for 60 yards, TOUCHDOWN.",0.5406577,2.3411667,4.658833,3.3635907,-3.3635907
49139,PHI,6.0,3.0,07:39,1.0,,0.0,WAS 15,extra_point,"4-J.Elliott extra point is GOOD, Center-49-R.Lovato, Holder-10-B.Mann.",0.6826182,0.932427,0.067573,3.4311638,-3.4311638
